Source/Common/Enums.s:100:           ;; Bits 0 and 2 set: HitBackground|Gravity = 1+4 = 5 (%00000101)
Source/Routines/PlayerCollisionResolution.s:245:           ;; ;; If temp3 < 0, set temp3 = 0 - temp3          lda 0          sec          sbc temp3          sta temp3
Source/Routines/PlayerCollisionResolution.s:293:           ;; ;; If temp4 < 0, set temp4 = 0 - temp4          lda 0          sec          sbc temp4          sta temp4
Source/Routines/PlayerCollisionResolution.s:450:           cmp 128
Source/Routines/PlayerCollisionResolution.s:460:           cmp 64
Source/Routines/PlayerCollisionResolution.s:470:           cmp 32
Source/Routines/PlayerCollisionResolution.s:616:           sbc 4
Source/Routines/PlayerCollisionResolution.s:758:           cmp 128
Source/Routines/PlayerCollisionResolution.s:768:           cmp 64
Source/Routines/PlayerCollisionResolution.s:778:           cmp 32
Source/Routines/PlayerCollisionResolution.s:97:           lda 3
Source/Routines/PlayerInput.s:1318:           lda 0
Source/Routines/PlayerInput.s:1369:           lda 1
Source/Routines/PlayerInput.s:1406:           lda 0
Source/Routines/PlayerInput.s:1439:           ;; If temp2 < 5, then jmp HandleStandardHorizontalMovementShouldPreserveFacingNo1          lda temp2          cmp 5          bcs .skip_1803          jmp
Source/Routines/PlayerInput.s:1571:           lda 0
Source/Routines/PlayerInput.s:1607:           lda 1
Source/Routines/PlayerInput.s:1677:           ;; If temp2 < 5, then jmp HandleStandardHorizontalMovementShouldPreserveFacingNo2          lda temp2          cmp 5          bcs .skip_6914          jmp
Source/Routines/PlayerInput.s:2053:           lda 0
Source/Routines/PlayerInput.s:2113:           ;; If temp2 < 5, then jmp ShouldPreserveFacingInlineNo1          lda temp2          cmp 5          bcs .skip_6997          jmp
Source/Routines/PlayerInput.s:2453:           lda 0
Source/Routines/PlayerInput.s:2514:           ;; If temp2 < 5, then jmp ShouldPreserveFacingInlineNo2          lda temp2          cmp 5          bcs .skip_5155          jmp
Source/Routines/PlayerInput.s:2675:           cmp 13
Source/Routines/PlayerInput.s:2843:           cmp 32
Source/Routines/PlayerInput.s:3015:           cmp 13
Source/Routines/PlayerInput.s:3131:           cmp 13
Source/Routines/PlayerInput.s:3320:           cmp 32
Source/Routines/PlayerInput.s:3490:           cmp 13
Source/Routines/PlayerPhysicsGravity.s:108:           lda 2
Source/Routines/PlayerPhysicsGravity.s:120:           lda 2
Source/Routines/PlayerPhysicsGravity.s:134:           lda 3
Source/Routines/PlayerPhysicsGravity.s:146:           lda 3
Source/Routines/PlayerPhysicsGravity.s:373:           lda 0
Source/Routines/PlayerPhysicsGravity.s:378:           lda 0
Source/Routines/PlayerPhysicsGravity.s:423:           lda 0
Source/Routines/PlayerPhysicsGravity.s:464:           lda 1
Source/Routines/PlayerPhysicsGravity.s:470:           lda 0
Source/Routines/PlayerPhysicsGravity.s:549:           ;; if temp1 < 4 then jmp GravityLoop          lda temp1          cmp 4          bcs .skip_5570          jmp
Source/Routines/PlayerPhysicsGravity.s:83:           cmp 2
Source/Routines/PlayerPlayfieldCollisions.s:312:           lda 0
Source/Routines/PlayerPlayfieldCollisions.s:424:           cmp 3
Source/Routines/PlayerPlayfieldCollisions.s:729:           lda 0
Source/Routines/RadishGoblinMovement.s:267:           lda 0
Source/Routines/RadishGoblinMovement.s:273:           lda 0
Source/Routines/RadishGoblinMovement.s:279:           lda 0
Source/Routines/RadishGoblinMovement.s:285:           lda 0
Source/Routines/RadishGoblinMovement.s:617:           lda 0
Source/Routines/RadishGoblinMovement.s:624:           lda 1
Source/Routines/RadishGoblinMovement.s:734:           lda 0
Source/Routines/RoboTitoJump.s:210:           lda 0
Source/Routines/RoboTitoJump.s:332:           lda 0
Source/Routines/SetPlayerSprites.s:184:           lda 1
Source/Routines/SetPlayerSprites.s:225:           lda 2
Source/Routines/SetPlayerSprites.s:233:           lda 2
Source/Routines/SetPlayerSprites.s:256:           lda 2
Source/Routines/SetPlayerSprites.s:261:           lda 2
Source/Routines/SetPlayerSprites.s:303:           lda 2
Source/Routines/SetPlayerSprites.s:341:           lda 3
Source/Routines/SetPlayerSprites.s:349:           lda 3
Source/Routines/SetPlayerSprites.s:373:           lda 3
Source/Routines/SetPlayerSprites.s:378:           lda 3
Source/Routines/SetPlayerSprites.s:419:           lda 3
Source/Routines/SpriteLoaderCharacterArt.s:113:           ;; if temp1 < 8 then jmp Bank2Dispatch          lda temp1          cmp 8          bcs .skip_8740          jmp
Source/Routines/SpriteLoaderCharacterArt.s:130:           ;; if temp1 < 16 then jmp Bank3Dispatch          lda temp1          cmp 16          bcs .skip_4567          jmp
Source/Routines/SpriteLoaderCharacterArt.s:145:           ;; if temp1 < 24 then jmp Bank4Dispatch          lda temp1          cmp 24          bcs .skip_5602          jmp
Source/Routines/SpriteLoaderCharacterArt.s:266:           ;; Set temp6 = temp1 - 8          lda temp1          sec          sbc 8          sta temp6
Source/Routines/SpriteLoaderCharacterArt.s:269:           sbc 8
Source/Routines/SpriteLoaderCharacterArt.s:274:           sbc 8
Source/Routines/SpriteLoaderCharacterArt.s:343:           ;; Set temp6 = temp1 - 16          lda temp1          sec          sbc 16          sta temp6
Source/Routines/SpriteLoaderCharacterArt.s:346:           sbc 16
Source/Routines/SpriteLoaderCharacterArt.s:351:           sbc 16
Source/Routines/SpriteLoaderCharacterArt.s:420:           ;; Set temp6 = temp1 - 24          lda temp1          sec          sbc 24          sta temp6
Source/Routines/SpriteLoaderCharacterArt.s:423:           sbc 24
Source/Routines/SpriteLoaderCharacterArt.s:428:           sbc 24
Source/Routines/SpriteLoader.s:198:           ;; if temp1 < 8 then jmp LoadPlayerSprite_Bank2Dispatch          lda temp1          cmp 8          bcs .skip_4485          jmp
Source/Routines/SpriteLoader.s:214:           ;; if temp1 < 16 then jmp LoadPlayerSprite_Bank3Dispatch          lda temp1          cmp 16          bcs .skip_8460          jmp
Source/Routines/SpriteLoader.s:228:           ;; if temp1 < 24 then jmp LoadPlayerSprite_Bank4Dispatch          lda temp1          cmp 24          bcs .skip_2409          jmp
Source/Routines/SpriteLoader.s:269:           ;; Set temp6 = temp1 - 8          lda temp1          sec          sbc 8          sta temp6
Source/Routines/SpriteLoader.s:272:           sbc 8
Source/Routines/SpriteLoader.s:277:           sbc 8
Source/Routines/SpriteLoader.s:300:           ;; Set temp6 = temp1 - 16          lda temp1          sec          sbc 16          sta temp6
Source/Routines/SpriteLoader.s:303:           sbc 16
Source/Routines/SpriteLoader.s:308:           sbc 16
Source/Routines/SpriteLoader.s:331:           ;; Set temp6 = temp1 - 24          lda temp1          sec          sbc 24          sta temp6
Source/Routines/SpriteLoader.s:334:           sbc 24
Source/Routines/SpriteLoader.s:339:           sbc 24
Source/Routines/VblankHandlers.s:1026:           cmp 2
Source/Routines/VblankHandlers.s:278:           lda 0
Source/Routines/VblankHandlers.s:340:           lda 0
Source/Routines/VblankHandlers.s:507:           lda 0
Source/Routines/VblankHandlers.s:514:           lda 0
Source/Routines/VblankHandlers.s:567:           cmp 32
Source/Routines/VblankHandlers.s:613:           cmp 32
Source/Routines/VblankHandlers.s:680:           lda 0
Source/Routines/VblankHandlers.s:685:           lda 0
Source/Routines/VblankHandlers.s:691:           lda 254
Source/Routines/VblankHandlers.s:696:           lda 0
Source/Routines/VblankHandlers.s:784:           ;; if temp1 < 8 then jmp VblankUpdateSpriteBank2Dispatch          lda temp1          cmp 8          bcs .skip_680          jmp
Source/Routines/VblankHandlers.s:801:           ;; if temp1 < 16 then jmp VblankUpdateSpriteBank3Dispatch          lda temp1          cmp 16          bcs .skip_6822          jmp
Source/Routines/VblankHandlers.s:816:           ;; if temp1 < 24 then jmp VblankUpdateSpriteBank4Dispatch          lda temp1          cmp 24          bcs .skip_5055          jmp
Source/Routines/VblankHandlers.s:855:           ;; Set temp6 = temp1 - 8          lda temp1          sec          sbc 8          sta temp6
Source/Routines/VblankHandlers.s:858:           sbc 8
Source/Routines/VblankHandlers.s:863:           sbc 8
Source/Routines/VblankHandlers.s:885:           ;; Set temp6 = temp1 - 16          lda temp1          sec          sbc 16          sta temp6
Source/Routines/VblankHandlers.s:888:           sbc 16
Source/Routines/VblankHandlers.s:893:           sbc 16
Source/Routines/VblankHandlers.s:915:           ;; Set temp6 = temp1 - 24          lda temp1          sec          sbc 24          sta temp6
Source/Routines/VblankHandlers.s:918:           sbc 24
Source/Routines/VblankHandlers.s:923:           sbc 24
./Tools/find-missing-octothorpe.sh: line 33: ng: command not found
./Tools/find-missing-octothorpe.sh: line 34: syntax error near unexpected token `fi'
./Tools/find-missing-octothorpe.sh: line 34: `        fi'
